id,group,aritfact
35125,top.guoziyang,rpc-api
35126,avalon-logkit,avalon-logkit
35127,org.apache.dubbo,dubbo-registry-redis
35128,org.apache.dubbo,dubbo-serialization-fst
35129,org.apache.dubbo,dubbo-serialization-fastjson
35130,org.apache.dubbo,dubbo-serialization-gson
35131,org.apache.dubbo,dubbo-serialization-avro
35132,org.beanshell,bsh-core
35133,net.java.dev.rome,rome
35134,net.java.dev.jai-imageio,jai-imageio-core-standalone
35135,org,jaudiotagger
35136,jwbroek.cuelib,cuelib
35137,mediautil,mediautil
35138,org.codehaus.izpack,izpack-compiler
35139,org.apache.maven.doxia,doxia-module-docbook-simple
35140,net.simonvt,android-numberpicker
35141,${project.groupId},metrics-bin
35142,${project.groupId},metrics-core-api
35143,${project.groupId},metrics-annotation
35144,${project.groupId},metrics-core-impl
35145,${project.groupId},metrics-openjdk
35146,${project.groupId},metrics-os
35147,${project.groupId},metrics-file-reporter
35148,${project.groupId},metrics-pandolet
35149,${project.groupId},metrics-reporter
35150,${project.groupId},metrics-common
35151,${project.groupId},metrics-apache-tomcat
35152,${project.groupId},metrics-nginx
35153,com.alibaba.middleware,metrics-druid
35154,com.taobao.middleware,logger.api
35155,com.alibaba.middleware,healthcheck-api
35156,com.alibaba.middleware,metrics-annotation
35157,com.alibaba.middleware,metrics-bin
35158,com.alibaba.middleware,metrics-reporter
35159,com.github.votoanthuan,sigar
35160,com.alibaba.middleware,metrics-openjdk
35161,com.alibaba.middleware,metrics-os
35162,com.alibaba.middleware,metrics-apache-tomcat
35163,com.alibaba.middleware,metrics-nginx
35164,com.alibaba.middleware,metrics-integration
35165,com.github.stefanbirkner,fishbowl
35166,com.hazelcast.samples,helper
35167,${project.groupId},fraud-detection-client-common
35168,${project.groupId},fraud-detection-common
35169,com.hazelcast,hazelcast-jclouds
35170,org.apache.jclouds.labs,google-compute-engine
35171,com.hazelcast.samples.openshift.client-apps,ocp-entry-processor
35172,com.hazelcast,spring-data-hazelcast
35173,com.ibm.websphere.appserver.api,com.ibm.websphere.appserver.api.basics
35174,com.ibm.tools.target,was-liberty
35175,com.hazelcast,hazelcast-eureka-one
35176,${project.groupId},after-kv-service
35177,${project.groupId},after-jpa-service
35178,${project.groupId},after-jpa-repository
35179,${project.groupId},after-kv-repository
35180,${project.groupId},after-domain
35181,${project.groupId},before-jpa-service
35182,${project.groupId},before-domain
35183,${project.groupId},before-jpa-repository
35184,com.hazelcast,hazelcast-jca
35185,com.hazelcast,hazelcast-jca-rar
35186,org.jboss.spec.javax.jms,jboss-jms-api_1.1_spec
35187,org.apache.geronimo.specs,geronimo-j2ee-connector_1.5_spec
35188,com.hazelcast,hazelcast-enterprise
35189,org.apache.directory.server,apacheds-parent
35190,com.hazelcast.samples,jcache
35191,com.hazelcast.samples.distributed-map,nearcache
35192,${project.parent.groupId},hazdb-common
35193,com.hazelcast,hazelcast-jdbc
35194,com.hazelcast.samples.jcache.timestable,jcache-common
35195,com.hazelcast.samples.serialization.hazelcast.airlines,the-code
35196,${project.groupId},serialization-benchmarks-common
35197,${project.groupId},serialization-benchmarks-domain
35198,${project.groupId},serialization-benchmarks-avro
35199,${project.groupId},serialization-benchmarks-kryo
35200,${project.groupId},serialization-benchmarks-protobuf
35201,com.hazelcast.samples.jet,jet-wordcount
35202,com.hazelcast.samples.jet,jet-trade-source
35203,com.hazelcast,hazelcast-3-connector-common
35204,net.saik0.android.unifiedpreference,unifiedpreference
35205,com.runsidekick,sidekick-audit-logger
35206,com.runsidekick,sidekick-common-model
35207,com.runsidekick,sidekick-common-repository
35208,com.runsidekick,sidekick-broker-core
35209,com.runsidekick,sidekick-broker-model
35210,com.runsidekick,sidekick-broker-client
35211,com.runsidekick,sidekick-broker-repository
35212,com.runsidekick,sidekick-broker-service
35213,com.runsidekick,sidekick-event-history-model
35214,com.runsidekick,sidekick-event-history-repository
35215,com.runsidekick,sidekick-event-history-service
35216,com.runsidekick,sidekick-event-history-helper
35217,com.runsidekick,sidekick-phone-home-model
35218,com.runsidekick,sidekick-phone-home-service
35219,com.runsidekick,sidekick-statistics-model
35220,com.runsidekick,sidekick-statistics-service
35221,com.runsidekick,sidekick-statistics-repository
35222,com.runsidekick,sidekick-probetag-model
35223,com.runsidekick,sidekick-probetag-service
35224,com.runsidekick,sidekick-probetag-repository
35225,com.runsidekick,sidekick-webhook-model
35226,com.runsidekick,sidekick-webhook-service
35227,com.runsidekick,sidekick-webhook-repository
35228,io.thundra.swark,thundra-cache-spring
35229,io.thundra.swark,thundra-common
35230,io.thundra.swark,thundra-jdbc-spring
35231,io.thundra.swark,thundra-utils
35232,io.thundra.swark,thundra-env-utils
35233,cn.iinti.sekiro3.business,sekiro-business-api
35234,cn.iinti.sekiro3.business,sekiro-netty-codec-http
35235,com.bazaarvoice.jolt,jolt-complete
35236,com.madgag,animated-gif-lib
35237,com.galenframework,galen-rainbow4j
35238,com.galenframework,galen-core
35239,com.galenframework,galen-java-support
35240,com.github.hazendaz.httpunit,httpunit
35241,org.springframework.boot,logging-spring-boot-starter
35242,org.javaboy,grpc-api
35243,org.javaboy,grpc_api
35244,org.javaboy,common
35245,org.javaboy,service
35246,com.alibaba.nacos,nacos-aes-encryption-plugin
35247,org.javaboy,mystarter
35248,com.github.lenve,encrypt-spring-boot-starter
35249,com.google.cloud,spring-cloud-gcp-starter-trace
35250,com.founder.fix.fixflow,fixflow-core
35251,com.founder.fix.fixflow,fixflow-expand
35252,com.founder.fix.fixflow,fixflow-common-api
35253,com.founder.fix.fixflow,fixflow-common-servlet
35254,com.founder.fix.fixflow,fixflow-manage-servlet
35255,com.founder.fix.fixflow,fixflow-converter
35256,com.founder.fix.fixflow,fixflow-webapp-common
35257,com.founder.fix.fixflow,fixflow-webapp-taskcenter
35258,com.founder.fix.fixflow,fixflow-webapp-managecenter
35259,com.founder.fix.fixflow,fixflow-webapp-explorer
35260,com.founder.fix.fixflow,fixflow-webapp-editor
35261,org.eclipse.xsd,org.eclipse.xsd
35262,com.founder.fix.fixflow,com.founder.fix.fixflow.bpmn2.extensions
35263,com.alipay.api,alipay-sdk
35264,com.kk,web-common
35265,com.kk,pay-api-model
35266,com.kk,pay-service
35267,fr.opensagres.xdocreport,org.odftoolkit.odfdom.converter.pdf
35268,org.lastaflute,lasta-di
35269,org.lastaflute,lastaflute
35270,org.lastaflute.html,lasta-taglib
35271,org.dbflute,dbflute-runtime
35272,org.codelibs.fesen.client,fesen-httpclient
35273,org.codelibs,corelib
35274,org.codelibs,sai
35275,org.codelibs,xpp3
35276,org.codelibs,curl4j
35277,org.codelibs,spnego
35278,org.codelibs.fess,fess-suggest
35279,org.lastaflute.job,lasta-job
35280,org.dbflute.mail,mailflute
35281,com.orangesignal,orangesignal-csv
35282,org.codelibs.fess,fess-crawler-lasta
35283,org.codelibs.fess,fess-crawler-es
35284,org.codelibs.fess,fess-crawler-playwright
35285,org.dbflute.tomcat,tomcat-boot
35286,org.dbflute.utflute,utflute-lastaflute
35287,com.online.taxi.common,online-taxi-common
35288,org.apache.lucene,lucene-analysis-kuromoji
35289,org.apache.lucene,lucene-analysis-morfologik
35290,org.wikiclean,wikiclean
35291,com.twitter.twittertext,twitter-text
35292,com.github.TREMA-UNH,trec-car-tools-java
35293,org.jbibtex,jbibtex
35294,org.webjars,prototype
35295,org.webjars,scriptaculous
35296,org.webjars,bootstrap-select
35297,org.webjars.npm,bootstrap-3-typeahead
35298,org.webjars,Keypress
35299,org.webjars,bootstrap-daterangepicker
35300,org.webjars,selectize.js
35301,org.apache.xmlgraphics,batik-svgrasterizer
35302,org.apache.pdfbox,preflight
35303,org.webjars,bootstrap-switch
35304,io.sf.carte,css4j
35305,io.sf.carte,carte-util
35306,io.sf.carte,css4j-dom4j
35307,io.sf.carte,xml-dtd
35308,org.restlet.jse,org.restlet.ext.jaxrs
35309,org.restlet.jse,org.restlet.ext.jaxb
35310,org.webjars.npm,fast-diff
35311,${mysql.groupId},${mysql.artifactId}
35312,${mariadb.groupId},${mariadb.artifactId}
