id,group,aritfact
8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,org.apache.maven,maven-core
16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,org.apache.maven.plugin-tools,maven-plugin-annotations
32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,org.apache.maven.shared,maven-common-artifact-filters
65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,junit,junit
130370302485407109521180524058200202307293977194619920040712988758680403184853549195737432064,org.projectlombok,lombok
260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864128,org.pegdown,pegdown
521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,org.springframework.cloud,spring-cloud-dependencies
1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,com.alibaba.cloud,spring-cloud-alibaba-dependencies
2085924839766513752338888384931203236916703635113918720651407820138886450957656787131798913024,org.jeecgframework.boot,jeecg-system-biz
4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,org.jeecgframework.boot,jeecg-boot-common
8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,org.jeecgframework.boot,jeecg-boot-base-core
16687398718132110018711107079449625895333629080911349765211262561111091607661254297054391304192,org.jeecgframework.boot,jeecg-system-local-api
33374797436264220037422214158899251790667258161822699530422525122222183215322508594108782608384,org.jeecgframework.boot,jeecg-system-cloud-api
66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768,org.jeecgframework.boot,jeecg-boot-starter-cloud
133499189745056880149688856635597007162669032647290798121690100488888732861290034376435130433536,org.jeecgframework.boot,jeecg-boot-starter-job
266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867072,org.jeecgframework.boot,jeecg-boot-starter-lock
533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,org.jeecgframework.boot,jeecg-boot-starter-rabbitmq
1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,org.jeecgframework.boot,jeecg-boot-starter-shardingsphere
2135987035920910082395021706169552114602704522356652769947041607822219725780640550022962086936576,org.hibernate,hibernate-core
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,org.jeecgframework.boot,hibernate-re
8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,org.jeecgframework.boot,jeecg-boot-starter-mongon
17087896287367280659160173649356416916821636178853222159576332862577757806245124400183696695492608,com.qiniu,qiniu-java-sdk
34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216,commons-fileupload,commons-fileupload
