id,group,aritfact
4725,de.metas.vertical.pharma,metasfresh-pharma.vendor.gateway.msv3
4726,de.metas.vertical.pharma,metasfresh-pharma.msv3.server-peer-metasfresh
4727,de.metas.adempiere.adempiere,de.metas.adempiere.adempiere.serverRoot.base
4728,de.metas.printing,de.metas.printing.rest-api-impl
4729,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_rest-api
4730,de.metas.manufacturing,de.metas.manufacturing.rest-api
4731,de.metas.picking,de.metas.picking.rest-api
4732,de.metas.distribution,de.metas.distribution.rest-api
4733,${project.groupId},metasfresh-dist-base
4734,de.metas.fresh,de.metas.fresh.swingui
4735,de.metas.material,metasfresh-material-dispo-commons
4736,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_commons
4737,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_xversion
4738,com.google.code.findbugs,annotations
4739,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_440.request
4740,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_440.response
4741,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_450.request
4742,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_450.response
4743,de.metas.dunning_gateway,metasfresh-dunning_gateway.spi
4744,de.metas.common.externalreference,de-metas-common-externalreference
4745,de.metas.vertical.pharma,metasfresh-pharma.msv3.schema.v1
4746,de.metas.vertical.pharma,metasfresh-pharma.msv3.schema.v2
4747,de.metas.servicerepair,de.metas.servicerepair.webui
4748,de.metas.deliveryplanning,de.metas.deliveryplanning.webui
4749,org.apache.xmlgraphics,batik-bridge
4750,org.apache.xmlgraphics,batik-svg-dom
4751,org.apache.xmlgraphics,batik-gvt
4752,org.apache.xmlgraphics,batik-util
4753,org.apache.xmlgraphics,batik-css
4754,net.sf.barcode4j,barcode4j
4755,org.apache.commons,commons-vfs2
4756,ar.com.fdvs,DynamicJasper-core-fonts
4757,de.metas.report.jasper,cantarell-fonts
4758,de.metas.report.jasper,montserrat-fonts
4759,de.metas.report.jasper,roboto-fonts
4760,de.metas.report.jasper,open-sans-fonts
4761,de.metas.report.jasper,source-code-pro-fonts
4762,org.jxls,jxls
4763,org.jxls,jxls-poi
4764,de.metas.dunning_gateway,metasfresh-dunning_gateway.api
