user,repo,type,orcount
vmware,vsphere-automation-sdk-java.git,pom.xml,0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000fffff00000000000000000000000000000000000000000000000000000000000000600000030000000000000000000000000000000000000000000000000000000000008000000000000000000000
udaysaladi,hbss.git,unknown,0x0
SushmitaVeer,G3B3_DSA_GradedProject2.git,unknown,0x0
CyberSource,cybersource-rest-samples-java.git,pom.xml,0x30000000000000000000000000000000000000000000000000000000000000000000000000000200000004000000000000000000000000000000000000000000000000008000000000000000000000
xiajunjie1,redis.git,build.gradle,0x0
r3aLitY-0010,testOneJava.git,pom.xml,0xc00000000000000000000000000000000
Adnuntius,android_sdk_examples.git,build.gradle,0x0
PoojithaMahesh,sh.git,pom.xml,0x800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402000000
Bharati-Phapale,lp1.git,pom.xml,0x0
saikumar1413,Assess11.git,pom.xml,0x40200
Srinu007007,postpipeline.git,pom.xml,0x2000000
98eogus,codingTest.git,unknown,0x0
BalakrishnanSalem,cicd.git,pom.xml,0x40200
Durga0987,project1.git,unknown,0x0
chaitaliChopade,Employee_Management_System.git,unknown,0x0
liangzijin,gitops-demo.git,pom.xml,0x200
azharskgithub,PROJECT_AUTOMATION_rahulshettyacademy.git,pom.xml,0x101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
MEENACHISUNDARAM3,CabBookingSystem.git,unknown,0x0
pinnepallikavya,no2.git,pom.xml,0x20000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000020010000000000000000000000000000000000000000000000000000000000001000000000000002000000002000002040200
BellerSun,ddns-general.git,pom.xml,0x80000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000f80000000000010000000000000000000000000000000000000000000000000020000800000000200000004000000000000000000000000000000000000000000000000002000040002001002060200
jeeyn,algorithm.git,unknown,0x0
Allan1418,BancoABC.git,unknown,0x0
AishniNarain,Java_OOPS.git,unknown,0x0
yuchaozh,LeetCode_MarkDown.git,unknown,0x0
maximillian-m,summary-design-patterns.git,pom.xml,0x0
acciojob,polymorphism-coderblu.git,pom.xml,0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000000000000000000000002000000
AdiKungen,JPDSI2_Budny_Adrian_PAW3.git,unknown,0x0
khayar,Solution-Architect-Test.git,pom.xml,0x2000000
vinay1514,Test.git,pom.xml,0x40200
Siskaaaaaa,Siska_latihan.git,unknown,0x0
gg1700,Proyecto-Programacion-TDD.git,unknown,0x0
cnoriega20,sfg-cn-train-bbrew.git,pom.xml,0x200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000002000000000002000070200
rayhanes12,Quiz.git,unknown,0x0
sriharialakunta,Storemart.git,pom.xml,0x400000000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007800000000000c0060003800070380
milan-82,cydeo-cucumber-junit-project.git,pom.xml,0x140000000201000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
ntnehathorat,ATM.git,unknown,0x0
ni250604,must-.git,unknown,0x0
guncow0603,to-do-list.git,build.gradle,0x0
hamtz,BelajarFiqih.git,build.gradle,0x0
ritika28022001,ERP.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000004000000000001000060200
hieundt,uit-android.git,unknown,0x0
gh-for-interview,teletronics.git,build.gradle,0x0
Jake-Pell,Project-Management-Application.git,unknown,0x0
sarahweisser,employee.git,pom.xml,0x20000000800080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000c00080000002000000002001800060200
SupriyaKodekanti,java-week11-assessment.git,pom.xml,0x40200
Nehakm2001,Assessment11.git,pom.xml,0x40200
rabiori88,Servlet.git,build.gradle,0x0
bhxvxshh,Online-cinema-ticket-booking-system-JAVA.git,unknown,0x0
phoenixcryos,IdeaProjects.git,unknown,0x0
SACHSTech,processing-task-7-images-and-animation-rachaelhychan.git,unknown,0x0
Special-sense,stsToolOcr.git,pom.xml,0x103fe0000000000000000000000000000000000000000000400000000000000200000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000007fe0000000000000000000000000000000000000000000000000000000000000000000000400020030000800004001000000000000000000000000000000001000000000200008000000000000002020000
vestex727,COSC-3P95.git,unknown,0x0
venkateshponnekanti,retrofit1.git,build.gradle,0x0
SlowCloud,java-christmas-6-SlowCloud.git,build.gradle,0x0
Manuel19t,dacd_practica1.git,pom.xml,0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020
nobleviper,Java-CodingTest.git,build.gradle,0x0
SyntheticDataPlatform,APIs-SpringBoot.git,build.gradle,0x0
mikhailwebb,AofA_StudentParticipationEvaluator.git,unknown,0x0
sattiabicsce,CodeForScrum.git,unknown,0x0
louispCx,javavulnlab.git,pom.xml,0x200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000
mtello78,taller02_devops.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000060300
51NG-L-R1D-D,preguntas.git,pom.xml,0x400000000000000000000000000000000000000000000000000000000000200000018000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f0000000000000000000000000000000000000000000000000000000000000000002000100000000000000000000000000080000000000000000000000000000000c00200000002000040060000000070280
codeprimate-software,cp-extensions.git,pom.xml,0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007f00000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000
Santy2304,Lab8Iweb.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000800000000
hassanwashere819,lab2.git,unknown,0x0
AlphaXD2003,react-native.git,build.gradle,0x0
Hariprakash-2002,Task_4.git,pom.xml,0x40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000040320
Palluruanusha,practice.git,unknown,0x0
christiane200202,labo.git,unknown,0x0
hoangthikimthi,Java-Hybrid.git,unknown,0x0
Andrewkxz,torneo.git,pom.xml,0x400000000000000000000000000000000
brayand227,proyectoFinalFinal.git,pom.xml,0x400000000000000000000000000000000
asdas9,puzzle8.git,build.gradle,0x0
nxhdev2002,HCA.git,pom.xml,0x800000000000100000000000000000000000000000000000000000060000000000000000000000000000000100000000000000000000000000000000000000010000200000000000000000004000000000000000000000000000000000000000000080002000200000003000060200
