user,repo,type,orcount
spinscale,elasticsearch-suggest-plugin.git,pom.xml,0xc00000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000080000002000000000000000000000000000000040000800000090000202
QSFT,Doradus.git,pom.xml,0x7f000000000000000000020000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000040000000000000000000000000000080000002000000000000000000000000000002000000000000000000002
StanKocken,SVG2Drawable.git,unknown,0x0
jaychou2012,SwitchLayout.git,build.gradle,0x0
zolad,VideoSlimmer.git,build.gradle,0x0
RIPE-NCC,hadoop-pcap.git,pom.xml,0x780000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000200000200200002
GIVEWAYTO,TagImageView.git,build.gradle,0x0
onlyloveyd,LazyOrgView.git,build.gradle,0x0
xiprox,MarkView.git,build.gradle,0x0
cmazxiaoma,taobao.git,build.gradle,0x0
hitherejoe,Notifi.git,build.gradle,0x0
tomdz,storm-esper.git,pom.xml,0x3800000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
poutsma,web-function-sample.git,pom.xml,0x7c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000010004000100000000002
mimicmobile,okhttp-oauth2-client.git,build.gradle,0x0
leafseelight,ComplexTable-Master.git,build.gradle,0x0
hatemogi,netty-startup.git,unknown,0x0
xiancloud,xian.git,pom.xml,0x1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000100020000000000000000000000000000000080008100f0000200008
jsonfry,uk.co.jasonfry.android.tools.git,unknown,0x0
ralfgehrer,AndroidCameraUtil.git,build.gradle,0x0
zzzlw,autovideoplayer.git,build.gradle,0x0
techdev-solutions,trackr-backend.git,build.gradle,0x0
xpg,GizwitsBLE.git,unknown,0x0
AliAsadi,Android-MVVM-Architecture.git,build.gradle,0x0
shmilyah,spring-cloud-components.git,pom.xml,0x100000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c1200041e26428208100000420000000000000000000
Stratio,deep-spark.git,pom.xml,0x3fffe0000c008000000000080000000000000000000000000000000000002000000000000000000000000800000000000040000000000000000002000000000000010000000000000000000000000000400000000001000000000000000000000000002400000000200000000002000000000000000000000003000004000200010000080200012
chenjishi,SlideActivity.git,build.gradle,0x0
tosslife,PullLoadView.git,build.gradle,0x0
ruby-concurrency,thread_safe.git,unknown,0x0
milaptank,SpannableTextView.git,build.gradle,0x0
jonasbleyl,recurrence.git,build.gradle,0x0
threerings,playn.git,pom.xml,0x7fffffffc000000000000000000000000000000020004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
lidong1665,AndroidPDF.git,build.gradle,0x0
segunfamisa,bottom-navigation-demo.git,build.gradle,0x0
